question text,option 1,option 2,option 3,option 4,correct answer,difficulty level,subject,prep level,unit number
Which sentence uses the correct preposition?,We went at the beach.,We went to the beach.,We went on the beach.,We went in the beach.,B,Medium,English,Prep 1,1
"Complete the sentence: ""We ___ a great time at the summer festival.""",did,made,had,took,C,Medium,English,Prep 1,1
Which word is NOT typically associated with summer?,Sunburn,Snowman,Sunglasses,Sandals,B,Easy,English,Prep 1,1
Which sentence contains an irregular past tense verb?,I played volleyball at the beach.,I teached my sister to swim.,I bought new sunglasses for summer.,I walked along the shore.,C,Medium,English,Prep 1,1
"Complete the sentence: ""Last summer, the weather ___ very hot.""",is,was,be,being,B,Easy,English,Prep 1,1
Which is the correct question form?,Did you went to the beach?,Did you go to the beach?,Do you went to the beach?,You went to the beach?,B,Medium,English,Prep 1,1
"What is a ""sunburn""?",A type of summer fruit,A reddening of the skin caused by too much sun exposure,A popular summer festival,A special summer discount,B,Easy,English,Prep 1,1
Which sentence uses the correct form of the comparative adjective?,The weather was more hotter than last summer.,The weather was more hot than last summer.,The weather was hotter than last summer.,The weather was the hottest than last summer.,C,Medium,English,Prep 1,1
"Complete the sentence: ""I ___ (never/visit) a water park until last summer.""",never visit,never visited,had never visited,have never visited,C,Hard,English,Prep 1,1
Which is NOT a water sport typically done in summer?,Swimming,Surfing,Skiing,Snorkeling,C,Easy,English,Prep 1,1
"What is the meaning of the idiom ""to catch some rays""?",To fish with a net,To get a suntan,To take photographs,To collect seashells,B,Hard,English,Prep 1,1
Which sentence is grammatically correct?,We didn't went to the beach.,We didn't going to the beach.,We didn't go to the beach.,We no go to the beach.,C,Medium,English,Prep 1,1
"Complete the sentence: ""___ you enjoy your summer vacation?""",Do,Did,Are,Have,B,Easy,English,Prep 1,1
"What does ""SPF"" stand for in the context of summer?",Summer Party Festival,Sun Protection Factor,Special Picnic Food,Summer Photo Frame,B,Medium,English,Prep 1,1
Which sentence uses the past continuous and past simple correctly?,I was reading when my friend called me.,I reading when my friend was calling me.,I read when my friend was calling me.,I was read when my friend called me.,A,Hard,English,Prep 1,1
What is the correct way to ask about duration?,How long time did you stay at the beach?,How long did you stay at the beach?,How much time did you stay at the beach?,What time did you stay at the beach?,B,Medium,English,Prep 1,1
What is a common way to communicate with friends online?,Sending letters,Using social media apps,Sending telegrams,Using smoke signals,B,Easy,English,Prep 1,2
Which word means a person you know and like?,Enemy,Stranger,Friend,Neighbor,C,Easy,English,Prep 1,2
"Complete the sentence: ""My best friend ___ in the same city as me.""",live,lives,living,lived,B,Easy,English,Prep 1,2
What do you call people you are related to?,Friends,Colleagues,Family,Classmates,C,Easy,English,Prep 1,2
Which verb means to talk to someone?,Listen,Share,Speak,Read,C,Easy,English,Prep 1,2
"What is a ""profile"" on social media?",A type of message,A short video,A page with information about a person,A group chat,C,Easy,English,Prep 1,2
"Complete the sentence: ""I like to ___ photos with my friends online.""",share,shares,sharing,shared,A,Easy,English,Prep 1,2
"What is a ""contact list""?",A list of books to read,A list of places to visit,A list of people you can call or message,A list of chores to do,C,Easy,English,Prep 1,2
Which phrase means to meet someone?,Say goodbye,Get in touch,Hang out,Send a message,C,Easy,English,Prep 1,2
"In the sentence ""She often chats with her friends online,"" what does ""chats"" mean?",Argues,Plays games,Talks informally,Studies,C,Medium,English,Prep 1,2
Which sentence uses the present simple tense correctly?,He is liking his new friends.,He like his new friends.,He likes his new friends.,He liked his new friends.,C,Medium,English,Prep 1,2
"What is the plural form of ""friend""?",Friendes,Friendies,Friends,Friend,C,Medium,English,Prep 1,2
"Complete the sentence: ""We usually ___ video games together on weekends.""",play,plays,playing,played,A,Medium,English,Prep 1,2
Which sentence contains an error?,My friends is very kind.,My friends are very kind.,My friend is very kind.,My friend was very kind.,A,Medium,English,Prep 1,2
What is the correct question to ask about someone's friends?,How many friend you have?,How many friends do you have?,How many friends are you have?,How many friends does you have?,B,Medium,English,Prep 1,2
Which sentence describes a way to stay connected?,I never talk to my cousins.,I send emails to my grandparents every month.,I lost my phone.,I don't have internet access.,B,Medium,English,Prep 1,2
"Complete the dialogue: ""Do you use social media?"" ""Yes, I ___.""",am,do,have,use,B,Medium,English,Prep 1,2
Which is NOT a common social media platform?,Facebook,Instagram,Email,TikTok,C,Medium,English,Prep 1,2
"In the sentence ""We keep in touch via email,"" what does ""keep in touch"" mean?",Lose contact,Maintain communication,Send gifts,Visit often,B,Hard,English,Prep 1,2
Which sentence uses the present continuous tense correctly?,I am chatting with my friend right now.,I chat with my friend right now.,I chats with my friend right now.,I chatted with my friend right now.,A,Hard,English,Prep 1,2
"Complete the sentence with the correct form: ""She ___ (talk) on the phone when I ___ (arrive).""",talked / arrived,was talking / arrived,talked / was arriving,was talking / was arriving,B,Hard,English,Prep 1,2
Which sentence uses a frequency adverb correctly?,I chat sometimes with my online friends.,I sometimes chat with my online friends.,I chat with my online friends sometimes.,Sometimes I chat my online friends.,B,Hard,English,Prep 1,2
"What is the difference between ""friend"" and ""acquaintance""?","Friend is someone you know well, acquaintance is someone you know slightly","Friend is family, acquaintance is not","Friend is online, acquaintance is offline",There is no difference,A,Hard,English,Prep 1,2
Which sentence uses the possessive form correctly?,My friends house is big.,My friend's house is big.,My friends's house is big.,My friend house is big.,B,Hard,English,Prep 1,2
"In the sentence ""He has a large network of contacts,"" what does ""network"" mean?",A type of computer system,A group of connected people or things,A fishing net,A television channel,B,Hard,English,Prep 1,2
Which question asks about the frequency of communication?,When did you talk to your friend?,Who is your best friend?,How often do you talk to your friend?,Why do you like your friend?,C,Hard,English,Prep 1,2
"Complete the sentence: ""I haven't ___ my cousin from Australia for years.""",see,saw,seeing,seen,D,Hard,English,Prep 1,2
Which sentence shows a good way to maintain friendships?,Ignoring messages from friends.,Gossiping about friends.,Supporting friends in difficult times.,Competing with friends constantly.,C,Hard,English,Prep 1,2
"What is the correct negative form of ""She has many friends""?",She doesn't has many friends.,She don't have many friends.,She doesn't have many friends.,She no have many friends.,C,Medium,English,Prep 1,2
Which sentence uses the correct preposition?,I talked with my friend on the phone.,I talked to my friend on the phone.,I talked at my friend on the phone.,I talked of my friend on the phone.,B,Medium,English,Prep 1,2
"Complete the sentence: ""It's important to ___ respectful online.""",be,is,are,being,A,Medium,English,Prep 1,2
Which word is NOT related to communication?,Chat,Message,Listen,Sleep,D,Easy,English,Prep 1,2
Which sentence uses the correct pronoun?,Me and my friend went to the park.,My friend and I went to the park.,I and my friend went to the park.,My friend and me went to the park.,B,Medium,English,Prep 1,2
"Complete the sentence: ""My brother is older ___ me.""",that,then,than,this,C,Easy,English,Prep 1,2
Which is the correct question form?,Your friend live nearby?,Does your friend live nearby?,Do your friend live nearby?,Is your friend live nearby?,B,Medium,English,Prep 1,2
"What does ""online safety"" mean in the context of social networks?",Using strong passwords and being careful about sharing personal information,Sharing everything online,Using easy passwords,Meeting strangers offline immediately,A,Easy,English,Prep 1,2
Which sentence uses the correct form of the adjective?,My network is more bigger than yours.,My network is bigger than yours.,My network is more big than yours.,My network is the biggest than yours.,B,Medium,English,Prep 1,2
"Complete the sentence: ""I enjoy ___ time with my friends.""",spend,spending,spent,spends,B,Hard,English,Prep 1,2
Which is NOT a positive aspect of having a social network?,Getting support from friends,Sharing experiences,Feeling lonely,Learning new things from others,C,Easy,English,Prep 1,2
"What is the meaning of the abbreviation ""BFF""?",Best Facebook Friend,Best Friend Forever,Big Funny Friend,Best Family Friend,B,Hard,English,Prep 1,2
Which sentence is grammatically correct?,He don't have many online friends.,He doesn't have many online friends.,He not have many online friends.,He no have many online friends.,B,Medium,English,Prep 1,2
"Complete the sentence: ""___ you like making new friends?""",Do,Does,Are,Is,A,Easy,English,Prep 1,2
"What does it mean to ""unfriend"" someone online?",To send them a friend request,To block them,To remove them from your list of friends,To meet them in person,C,Medium,English,Prep 1,2
Which sentence uses the present perfect tense correctly?,I know my best friend since childhood.,I have known my best friend since childhood.,I known my best friend since childhood.,I did know my best friend since childhood.,B,Hard,English,Prep 1,2
What is the correct way to ask about someone's well-being?,How do you?,How you are?,How is you?,How are you?,D,Medium,English,Prep 1,2
What is a common way to ask about the time?,What is the hour?,What time is it?,What is the clock?,What is the minute?,B,Easy,English,Prep 1,3
"Which word means the opposite of ""early""?",Fast,Slow,Late,Quick,C,Easy,English,Prep 1,3
"Complete the sentence: ""I usually ___ up at 7 o'clock.""",get,gets,getting,got,A,Easy,English,Prep 1,3
What time expression shows a regular habit?,Every day,Last week,Tomorrow,Next month,A,Easy,English,Prep 1,3
Which phrase describes a morning routine?,Going to bed,Having dinner,Brushing teeth after waking up,Watching the sunset,C,Easy,English,Prep 1,3
"What is the correct way to tell the time ""8:15""?",Eight and fifteen,Quarter past eight,Eight past fifteen,Fifteen past eight,B,Easy,English,Prep 1,3
"Complete the sentence: ""School ___ at 8:30 in the morning.""",start,starts,starting,started,B,Easy,English,Prep 1,3
Which activity is typically done in the evening?,Having breakfast,Going to school,Watching the sunrise,Having dinner,D,Easy,English,Prep 1,3
"What is a ""schedule""?",A type of clock,A plan of activities and when they happen,A type of calendar,A time zone,B,Easy,English,Prep 1,3
"Which phrase means ""not having enough time""?",Being punctual,Being busy,Being early,Being late,B,Easy,English,Prep 1,3
"In the sentence ""She always arrives on time,"" what does ""on time"" mean?",Early,Late,At the scheduled time,Quickly,C,Medium,English,Prep 1,3
Which sentence uses the present simple tense to describe a routine?,I am going to bed at 10 PM.,I go to bed at 10 PM every night.,I went to bed at 10 PM.,I will go to bed at 10 PM.,B,Medium,English,Prep 1,3
"What is the correct preposition in ""I have lunch ___ noon""?",in,at,on,by,B,Medium,English,Prep 1,3
"Complete the sentence: ""We ___ breakfast at 7:30 every morning.""",have,has,having,had,A,Medium,English,Prep 1,3
Which sentence contains an error in time expression?,I go to bed in night.,I go to bed at night.,I go to bed during the night.,I go to bed every night.,A,Medium,English,Prep 1,3
What is the correct question to ask about someone's daily routine?,What time do you wake up?,What time you wake up?,What time are you wake up?,What time is you wake up?,A,Medium,English,Prep 1,3
Which sentence describes a daily routine correctly?,I am brushing my teeth now.,I brushed my teeth yesterday.,I brush my teeth every morning.,I will brush my teeth tomorrow.,C,Medium,English,Prep 1,3
"Complete the dialogue: ""What time do you have dinner?"" ""I usually have dinner ___.""",at 7 PM,in 7 PM,on 7 PM,by 7 PM,A,Medium,English,Prep 1,3
Which is NOT a part of a typical morning routine?,Waking up,Having breakfast,Brushing teeth,Having dinner,D,Medium,English,Prep 1,3
What is the correct way to ask about frequency?,How often do you exercise?,How much do you exercise?,How long do you exercise?,How many do you exercise?,A,Medium,English,Prep 1,3
"In the sentence ""I never have enough time to finish my homework,"" what does ""never"" indicate?",Frequency,Duration,Time,Location,A,Hard,English,Prep 1,3
Which sentence uses adverbs of frequency in the correct position?,I always am late for school.,I am always late for school.,Always I am late for school.,I am late always for school.,B,Hard,English,Prep 1,3
"Complete the sentence with the correct form: ""She ___ (study) while her brother ___ (watch) TV.""",studied / watched,was studying / was watching,studied / was watching,was studying / watched,C,Hard,English,Prep 1,3
Which sentence uses the correct preposition of time?,I have a meeting in Monday.,I have a meeting at Monday.,I have a meeting on Monday.,I have a meeting by Monday.,C,Hard,English,Prep 1,3
"What is the difference between ""at the weekend"" and ""on the weekend""?","At the weekend is British English, on the weekend is American English","At the weekend means Saturday, on the weekend means Sunday","At the weekend is formal, on the weekend is informal",There is no difference,A,Hard,English,Prep 1,3
Which sentence uses the present perfect tense correctly to talk about time?,I have finished my homework yesterday.,I have just finished my homework.,I finished my homework already.,I have finish my homework now.,B,Hard,English,Prep 1,3
"In the sentence ""I've been studying for three hours,"" what tense is used?",Present simple,Present continuous,Present perfect,Present perfect continuous,D,Hard,English,Prep 1,3
Which question asks about duration?,When do you study?,Where do you study?,How long do you study for?,Why do you study?,C,Hard,English,Prep 1,3
"Complete the sentence: ""By the time I got home, my family ___ dinner.""",ate,was eating,had eaten,has eaten,C,Hard,English,Prep 1,3
"What is the correct negative form of ""I have time""?",I don't have time.,I haven't time.,I don't has time.,I no have time.,A,Medium,English,Prep 1,3
Which sentence uses the correct time expression?,I'll see you in two days.,I'll see you at two days.,I'll see you on two days.,I'll see you by two days.,A,Medium,English,Prep 1,3
"Complete the sentence: ""It takes me 30 minutes ___ get ready in the morning.""",for,to,at,in,B,Medium,English,Prep 1,3
Which word is NOT related to time management?,Punctual,Deadline,Procrastinate,Distance,D,Easy,English,Prep 1,3
"What is a common way to respond to ""What time is it?""?",It's half past nine.,It's nine and half.,It's thirty after nine.,It's nine thirty past.,A,Easy,English,Prep 1,3
Which sentence uses the correct time expression?,I wake up on 7 o'clock.,I wake up in 7 o'clock.,I wake up at 7 o'clock.,I wake up by 7 o'clock.,C,Medium,English,Prep 1,3
"Complete the sentence: ""The movie starts ___ 8 PM.""",in,on,at,for,C,Easy,English,Prep 1,3
Which is the correct question form?,What time you go to bed?,What time do you go to bed?,What time does you go to bed?,What time are you go to bed?,B,Medium,English,Prep 1,3
"What does ""to be in a rush"" mean?",To have plenty of time,To be in a hurry,To be relaxed,To be on vacation,B,Easy,English,Prep 1,3
Which sentence uses the correct form of the time expression?,I'll meet you at quarter to nine.,I'll meet you at quarter for nine.,I'll meet you at quarter by nine.,I'll meet you at quarter until nine.,A,Medium,English,Prep 1,3
"Complete the sentence: ""I'm ___ busy these days.""",very,much,many,lot,A,Hard,English,Prep 1,3
Which is NOT a way to tell the time?,Half past two,Quarter to three,Three and half,Twenty to four,C,Easy,English,Prep 1,3
"What is the meaning of the phrase ""to kill time""?",To waste time doing something unimportant while waiting,To be efficient with time,To be late for something,To set an alarm,A,Hard,English,Prep 1,3
Which sentence is grammatically correct?,I don't never wake up late.,I never wake up late.,I wake up never late.,I no never wake up late.,B,Medium,English,Prep 1,3
"Complete the sentence: ""___ you have a busy schedule?""",Do,Does,Are,Is,A,Easy,English,Prep 1,3
Which sentence uses the future tense correctly to talk about scheduled events?,I will have a dentist appointment tomorrow at 3 PM.,I having a dentist appointment tomorrow at 3 PM.,I have a dentist appointment tomorrow at 3 PM.,I am have a dentist appointment tomorrow at 3 PM.,C,Hard,English,Prep 1,3
What is the correct way to ask about someone's schedule?,How is your schedule?,What is your schedule?,How busy are you?,When are you free?,D,Medium,English,Prep 1,3
What is a common digital device?,Refrigerator,Microwave,Smartphone,Bicycle,C,Easy,English,Prep 1,4
Which word means to search for information online?,Download,Upload,Browse,Install,C,Easy,English,Prep 1,4
"Complete the sentence: ""I ___ my phone to take photos.""",use,uses,using,used,A,Easy,English,Prep 1,4
What do you need to connect to the internet?,A website,A password,Wi-Fi or mobile data,A computer program,C,Easy,English,Prep 1,4
Which phrase describes using a computer?,Riding a bike,Cooking dinner,Sending an email,Playing football,C,Easy,English,Prep 1,4
"What is a ""website""?",A place on the internet with information,A type of computer,A kind of phone,A digital camera,A,Easy,English,Prep 1,4
"Complete the sentence: ""She ___ online games every day.""",play,plays,playing,played,B,Easy,English,Prep 1,4
Which activity is typically done online?,Reading a paper book,Writing in a notebook,Watching streaming videos,Planting flowers,C,Easy,English,Prep 1,4
"What is an ""app""?",A type of fruit,A computer program especially for phones or tablets,A digital clock,A kind of website,B,Easy,English,Prep 1,4
"Which phrase means ""to stop using your phone or computer""?",Log in,Turn off,Sign up,Plug in,B,Easy,English,Prep 1,4
"In the sentence ""He spends too much time online,"" what does ""online"" mean?",Connected to the internet,In a line of people,On time,On a telephone call,A,Medium,English,Prep 1,4
Which sentence uses the present simple tense to describe a digital habit?,I am downloading a movie now.,I download movies every weekend.,I downloaded a movie yesterday.,I will download a movie tomorrow.,B,Medium,English,Prep 1,4
"What is the correct verb in ""I ___ a new app on my phone""?",install,installs,installing,installed,A,Medium,English,Prep 1,4
"Complete the sentence: ""We ___ videos on YouTube regularly.""",watch,watches,watching,watched,A,Medium,English,Prep 1,4
Which sentence contains an error related to technology vocabulary?,I downloaded an app from the app store.,I surfed in the internet yesterday.,I sent an email to my teacher.,I took a photo with my phone.,B,Medium,English,Prep 1,4
What is the correct question to ask about someone's internet usage?,How much time do you spend online?,How much time you spend online?,How much time are you spend online?,How much time is you spend online?,A,Medium,English,Prep 1,4
Which sentence describes a digital activity correctly?,I am taking a photo now.,I took a photo yesterday.,I take photos with my phone every day.,I will take a photo tomorrow.,C,Medium,English,Prep 1,4
"Complete the dialogue: ""Do you use social media?"" ""Yes, I use it ___.""",every day,in every day,at every day,on every day,A,Medium,English,Prep 1,4
Which is NOT a common digital activity?,Sending text messages,Posting on social media,Charging a battery,Reading a paper newspaper,D,Medium,English,Prep 1,4
What is the correct way to ask about frequency of computer use?,How often do you use your computer?,How much do you use your computer?,How long do you use your computer?,How many do you use your computer?,A,Medium,English,Prep 1,4
"In the sentence ""I've been trying to download this file for an hour,"" what tense is used?",Present simple,Present continuous,Present perfect,Present perfect continuous,D,Hard,English,Prep 1,4
Which sentence uses the imperative form correctly for digital instructions?,You click on the icon.,Click on the icon.,Clicking on the icon.,You must click on the icon.,B,Hard,English,Prep 1,4
"Complete the sentence with the correct form: ""While I ___ (search) online, my computer ___ (crash).""",searched / crashed,was searching / crashed,searched / was crashing,was searching / was crashing,B,Hard,English,Prep 1,4
Which sentence uses the correct preposition with technology vocabulary?,I logged in to my account.,I logged in at my account.,I logged in on my account.,I logged in with my account.,A,Hard,English,Prep 1,4
"What is the difference between ""upload"" and ""download""?","Upload is sending files from your device to the internet, download is getting files from the internet to your device","Upload is faster, download is slower","Upload is for photos, download is for videos",There is no difference,A,Hard,English,Prep 1,4
Which sentence uses the present perfect tense correctly to talk about technology?,I have bought a new laptop yesterday.,I have just bought a new laptop.,I bought a new laptop already.,I have buy a new laptop now.,B,Hard,English,Prep 1,4
"In the sentence ""The website is loading slowly,"" what tense is used?",Present simple,Present continuous,Present perfect,Past continuous,B,Hard,English,Prep 1,4
Which question asks about digital problems?,When did you buy your phone?,Where did you buy your phone?,Why isn't your website working properly?,How much did your phone cost?,C,Hard,English,Prep 1,4
"Complete the sentence: ""By the time I checked my email, she ___ me three messages.""",sent,was sending,had sent,has sent,C,Hard,English,Prep 1,4
Which sentence shows the correct use of technology vocabulary?,I made a search on Google.,I did a search on Google.,I wrote a search on Google.,I created a search on Google.,B,Hard,English,Prep 1,4
"What is the correct negative form of ""I have a password""?",I don't have a password.,I haven't a password.,I don't has a password.,I no have a password.,A,Medium,English,Prep 1,4
Which sentence uses the correct phrasal verb related to technology?,I log in my account every day.,I log into my account every day.,I log on my account every day.,I log with my account every day.,B,Medium,English,Prep 1,4
"Complete the sentence: ""Remember ___ your password.""",save,saving,to save,saved,C,Medium,English,Prep 1,4
Which word is NOT related to internet security?,Password,Firewall,Virus,Keyboard,D,Easy,English,Prep 1,4
Which sentence uses the correct technology term?,I'm going to surf in the web.,I'm going to surf on the web.,I'm going to surf the web.,I'm going to surf at the web.,C,Medium,English,Prep 1,4
"Complete the sentence: ""I forgot ___ my phone charger.""",bring,to bring,bringing,brings,B,Easy,English,Prep 1,4
Which is the correct question form?,How often you check your email?,How often do you check your email?,How often does you check your email?,How often are you check your email?,B,Medium,English,Prep 1,4
"What does ""to go viral"" mean in the context of digital life?",To get a computer virus,To become very popular online in a short time,To visit many websites,To get sick from using computers too much,B,Easy,English,Prep 1,4
Which sentence uses the correct form of the verb with technology vocabulary?,I need to updating my software.,I need to update my software.,I need update my software.,I need updated my software.,B,Medium,English,Prep 1,4
"Complete the sentence: ""I'm ___ with downloading this file.""",problem,trouble,having trouble,making trouble,C,Hard,English,Prep 1,4
Which is NOT a type of digital communication?,Email,Text message,Video call,Handwritten letter,D,Easy,English,Prep 1,4
"What is the meaning of the abbreviation ""Wi-Fi""?",Wireless Finance,Wireless Finder,Wireless Fidelity,Winter Finance,C,Hard,English,Prep 1,4
Which sentence is grammatically correct?,I don't never use social media.,I never use social media.,I use never social media.,I no never use social media.,B,Medium,English,Prep 1,4
"Complete the sentence: ""___ you have a smartphone?""",Do,Does,Are,Is,A,Easy,English,Prep 1,4
"What does ""to back up"" mean in the context of digital life?",To move backward,To support someone,To make a copy of data for safety,To turn off a device,C,Medium,English,Prep 1,4
What is the correct way to ask for help with technology?,Can you help me with this app?,You can help me with this app?,Help me with this app?,You help me with this app?,A,Medium,English,Prep 1,4
What is a common natural environment?,Shopping mall,Office building,Forest,Classroom,C,Easy,English,Prep 1,5
Which word describes weather that is very hot?,Cold,Warm,Freezing,Scorching,D,Easy,English,Prep 1,5
"Complete the sentence: ""There ___ many trees in the park.""",is,are,be,being,B,Easy,English,Prep 1,5
What do you need to protect yourself from the sun?,Umbrella,Sunscreen,Flashlight,Gloves,B,Easy,English,Prep 1,5
Which phrase describes being outdoors?,Going shopping,Watching TV,Taking a walk in the park,Cooking dinner,C,Easy,English,Prep 1,5
"What is a ""landscape""?",A painting,A view of natural scenery,A type of animal,A weather condition,B,Easy,English,Prep 1,5
"Complete the sentence: ""It often ___ in spring.""",rain,rains,raining,rained,B,Easy,English,Prep 1,5
Which activity is typically done outdoors?,Reading a book,Watching a movie,Hiking in the mountains,Sleeping,C,Easy,English,Prep 1,5
"What is a ""season""?",A type of weather,A division of the year based on weather patterns,A natural disaster,A kind of plant,B,Easy,English,Prep 1,5
"Which phrase means ""to spend time outside""?",Get out,Go out,Be out,Stay out,B,Easy,English,Prep 1,5
"In the sentence ""We should protect the environment,"" what does ""environment"" mean?",The inside of a house,The natural world,The workplace,The classroom,B,Medium,English,Prep 1,5
Which sentence uses the present simple tense to describe nature?,It is raining now.,It rains a lot in this region.,It rained yesterday.,It will rain tomorrow.,B,Medium,English,Prep 1,5
"What is the correct adjective in ""The ___ mountain was covered in snow""?",high,higher,highest,more high,A,Medium,English,Prep 1,5
"Complete the sentence: ""We ___ camping in the forest every summer.""",go,goes,going,went,A,Medium,English,Prep 1,5
Which sentence contains an error related to nature vocabulary?,There are many fishes in the lake.,There are many trees in the forest.,There are many birds in the sky.,There are many flowers in the garden.,A,Medium,English,Prep 1,5
What is the correct question to ask about the weather?,How is the weather today?,How the weather is today?,How weather is today?,How does the weather today?,A,Medium,English,Prep 1,5
Which sentence describes a natural phenomenon correctly?,The sun is shining brightly today.,The sun was shining brightly yesterday.,The sun shines in the daytime.,The sun will shine tomorrow.,C,Medium,English,Prep 1,5
"Complete the dialogue: ""Do you like going to the beach?"" ""Yes, I go there ___.""",every summer,in every summer,at every summer,on every summer,A,Medium,English,Prep 1,5
Which is NOT a natural environment?,Desert,Mountain,Forest,Shopping center,D,Medium,English,Prep 1,5
What is the correct way to ask about someone's experience in nature?,Have you ever visited a national park?,Did you ever visited a national park?,Have you ever visit a national park?,Did you ever visit a national park?,A,Medium,English,Prep 1,5
"In the sentence ""I've been walking in the forest for two hours,"" what tense is used?",Present simple,Present continuous,Present perfect,Present perfect continuous,D,Hard,English,Prep 1,5
Which sentence uses the comparative form correctly?,This mountain is more higher than that one.,This mountain is more high than that one.,This mountain is higher than that one.,This mountain is the higher than that one.,C,Hard,English,Prep 1,5
"Complete the sentence with the correct form: ""While we ___ (hike), it ___ (start) to rain.""",hiked / started,were hiking / started,hiked / was starting,were hiking / was starting,B,Hard,English,Prep 1,5
Which sentence uses the correct preposition with nature vocabulary?,We went for a walk in the forest.,We went for a walk at the forest.,We went for a walk on the forest.,We went for a walk with the forest.,A,Hard,English,Prep 1,5
"What is the difference between ""weather"" and ""climate""?","Weather is short-term atmospheric conditions, climate is long-term patterns","Weather is hot, climate is cold","Weather is outdoors, climate is indoors",There is no difference,A,Hard,English,Prep 1,5
Which sentence uses the present perfect tense correctly to talk about nature?,I have seen a bear in the wild yesterday.,I have never seen a bear in the wild.,I saw a bear in the wild already.,I have see a bear in the wild now.,B,Hard,English,Prep 1,5
